-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.201, -0.028,  0.148
-183.800, 80.201, -0.024,  0.181
-183.800, 80.201, -0.018,  0.214
-183.800, 80.200, -0.011,  0.247
-183.800, 80.198, 0.065,  0.280
-183.800, 80.194, 0.133,  0.313
-183.800, 80.188, 0.211,  0.346
-183.799, 80.178, 0.330,  0.379
-183.798, 80.158, 0.615,  0.412
-183.797, 80.130, 0.835,  0.445
-183.795, 80.096, 1.019,  0.478
-183.793, 80.057, 1.167,  0.511
-183.792, 80.016, 1.229,  0.544
-183.790, 79.974, 1.297,  0.577
-183.788, 79.928, 1.382,  0.610
-183.786, 79.880, 1.478,  0.643
-183.783, 79.828, 1.578,  0.676
-183.781, 79.773, 1.677,  0.709
-183.778, 79.715, 1.771,  0.742
-183.775, 79.654, 1.849,  0.775
-183.772, 79.591, 1.894,  0.808
-183.770, 79.528, 1.914,  0.841
-183.767, 79.465, 1.912,  0.874
-183.764, 79.402, 1.894,  0.907
-183.761, 79.341, 1.866,  0.940
-183.758, 79.280, 1.829,  0.973
-183.755, 79.221, 1.787,  1.006
-183.752, 79.164, 1.740,  1.039
-183.749, 79.109, 1.666,  1.072
-183.746, 79.056, 1.610,  1.105
-183.744, 79.004, 1.560,  1.138
-183.741, 78.954, 1.523,  1.171
-183.738, 78.904, 1.500,  1.204
-183.735, 78.854, 1.493,  1.237
-183.733, 78.804, 1.505,  1.270
-183.730, 78.754, 1.535,  1.303
-183.727, 78.701, 1.580,  1.336
-183.724, 78.647, 1.638,  1.369
-183.720, 78.590, 1.704,  1.402
-183.717, 78.531, 1.774,  1.435
-183.714, 78.470, 1.846,  1.468
-183.710, 78.406, 1.910,  1.501
-183.706, 78.341, 1.946,  1.534
-183.702, 78.276, 1.958,  1.567
-183.699, 78.211, 1.950,  1.600
-183.695, 78.147, 1.929,  1.633
-183.691, 78.084, 1.897,  1.666
-183.688, 78.022, 1.857,  1.699
-183.684, 77.963, 1.792,  1.732
